GID_0;COUNTRY;NAME_1;GID_1;NAME_2;TYPE_2;GID_2;HASC_2;ADMIN2PCOD;POP2019
BFA;Burkina Faso;Centre-Sud;BFA.6_1;Nahouri;Province;BFA.6.2_1;BF.CS.NR;BF5102;228031
BFA;Burkina Faso;Centre-Sud;BFA.6_1;Zoundwéogo;Province;BFA.6.3_1;BF.CS.ZW;BF5103;649961
BFA;Burkina Faso;Est;BFA.8_1;Gnagna;Province;BFA.8.1_1;BF.ES.GG;BF5201;596841
BFA;Burkina Faso;Est;BFA.8_1;Gourma;Province;BFA.8.2_1;BF.ES.GM;BF5202;456817
BFA;Burkina Faso;Est;BFA.8_1;Komandjoari;Province;BFA.8.3_1;BF.ES.KJ;BF5203;126332
BFA;Burkina Faso;Est;BFA.8_1;Kompienga;Province;BFA.8.4_1;BF.ES.KP;BF5204;130926
BFA;Burkina Faso;Est;BFA.8_1;Tapoa;Province;BFA.8.5_1;BF.ES.TA;BF5205;523250
BFA;Burkina Faso;Haut-Bassins;BFA.9_1;Houet;Province;BFA.9.1_1;BF.HB.HO;BF5301;1409904
BFA;Burkina Faso;Haut-Bassins;BFA.9_1;Kénédougou;Province;BFA.9.2_1;BF.HB.KN;BF5302;435108
BFA;Burkina Faso;Haut-Bassins;BFA.9_1;Tuy;Province;BFA.9.3_1;BF.HB.TU;BF5303;345817
BFA;Burkina Faso;Nord;BFA.10_1;Loroum;Province;BFA.10.1_1;BF.NO.LO;BF5401;205394
BFA;Burkina Faso;Nord;BFA.10_1;Passoré;Province;BFA.10.2_1;BF.NO.PA;BF5402;447406
BFA;Burkina Faso;Nord;BFA.10_1;Yatenga;Province;BFA.10.3_1;BF.NO.YT;BF5403;783269
BFA;Burkina Faso;Nord;BFA.10_1;Zondoma;Province;BFA.10.4_1;BF.NO.ZM;BF5404;241473
BFA;Burkina Faso;Plateau-Central;BFA.11_1;Ganzourgou;Province;BFA.11.1_1;BF.PC.GZ;BF5501;452074
BFA;Burkina Faso;Plateau-Central;BFA.11_1;Kourwéogo;Province;BFA.11.2_1;BF.PC.KW;BF5502;189937
BFA;Burkina Faso;Plateau-Central;BFA.11_1;Oubritenga;Province;BFA.11.3_1;BF.PC.OB;BF5503;333557
BFA;Burkina Faso;Sahel;BFA.12_1;Oudalan;Province;BFA.12.1_1;BF.SA.OD;BF5601;297228
BFA;Burkina Faso;Sahel;BFA.12_1;Séno;Province;BFA.12.2_1;BF.SA.SE;BF5602;385900
BFA;Burkina Faso;Sahel;BFA.12_1;Soum;Province;BFA.12.3_1;BF.SA.SM;BF5603;516396
BFA;Burkina Faso;Sahel;BFA.12_1;Yagha;Province;BFA.12.4_1;BF.SA.YG;BF5604;238324
BFA;Burkina Faso;Sud-Ouest;BFA.13_1;Bougouriba;Province;BFA.13.1_1;BF.SO.BB;BF5701;148270
BFA;Burkina Faso;Sud-Ouest;BFA.13_1;Ioba;Province;BFA.13.2_1;BF.SO.IO;BF5702;266294
BFA;Burkina Faso;Sud-Ouest;BFA.13_1;Noumbiel;Province;BFA.13.3_1;BF.SO.NB;BF5703;103673
BFA;Burkina Faso;Sud-Ouest;BFA.13_1;Poni;Province;BFA.13.4_1;BF.SO.PO;BF5704;373292
